points,start,relief_start,player,player_id,team_id,game_id,scoring_period_id,matchup_id,lineup_id,in_lineup,pitcher,batter
24,TRUE,FALSE,Yu Darvish,32055,11,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Kris Bryant,33172,11,3,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Carlos Rodon,33696,11,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Jorge Polanco,32525,11,3,1,1,2,TRUE,FALSE,TRUE
2,FALSE,FALSE,Jake Cronenworth,36364,11,3,1,1,1,TRUE,FALSE,TRUE
1.5,FALSE,FALSE,Christian Yelich,31283,11,3,1,1,5,TRUE,FALSE,TRUE
1.5,FALSE,FALSE,Yuli Gurriel,36006,11,3,1,1,7,TRUE,FALSE,TRUE
0.5,FALSE,FALSE,Hunter Renfroe,33205,11,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Alex Verdugo,33786,11,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Randy Arozarena,36488,11,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Javier Baez,32127,11,3,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Luis Urias,35383,11,3,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Chris Taylor,32900,11,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Yusei Kikuchi,41415,11,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Jonathan Schoop,31988,11,3,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Aaron Civale,40934,11,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Cristian Javier,41261,11,3,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Brendan Rodgers,35073,11,3,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Carlos Hernandez,41233,11,3,1,1,15,TRUE,TRUE,FALSE
-1,FALSE,FALSE,Yadier Molina,5986,11,3,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Nestor Cortes,36480,11,3,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Wilmer Flores,30627,11,3,1,1,16,FALSE,FALSE,FALSE
16,TRUE,FALSE,Shane Bieber,40912,2,4,1,1,14,TRUE,TRUE,FALSE
2.5,FALSE,FALSE,Matt Olson,32767,2,4,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Aaron Judge,33192,2,4,1,1,5,TRUE,FALSE,TRUE
0.5,FALSE,FALSE,Jose Altuve,31662,2,4,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Salvador Perez,31127,2,4,1,1,0,TRUE,FALSE,TRUE
28.5,TRUE,FALSE,Framber Valdez,36581,2,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Sean Manaea,33244,2,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Fernando Tatis Jr.,35983,2,4,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Shane McClanahan,41199,2,4,1,1,14,TRUE,TRUE,FALSE
3.5,FALSE,FALSE,Seiya Suzuki,4142424,2,4,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Tim Anderson,33184,2,4,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Joey Gallo,32818,2,4,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jorge Soler,32558,2,4,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Gleyber Torres,33804,2,4,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jordan Romano,36380,2,4,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Marco Gonzales,33158,2,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Nathaniel Lowe,40538,2,4,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Brandon Nimmo,32159,2,4,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Chris Flexen,36067,2,4,1,1,14,TRUE,TRUE,FALSE
1,FALSE,FALSE,Mike Moustakas,29999,2,4,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Blake Treinen,32185,2,4,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Mark Melancon,29446,2,4,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Cole Irvin,39869,2,4,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Luis Arraez,39572,2,4,1,1,5,TRUE,FALSE,TRUE
5,FALSE,FALSE,Robinson Cano,6204,2,4,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Gerrit Cole,32081,8,5,1,1,14,TRUE,TRUE,FALSE
1.5,FALSE,FALSE,Kyle Tucker,34967,8,5,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Julio Urias,33223,8,5,1,1,14,TRUE,TRUE,FALSE
8,FALSE,FALSE,Alex Bregman,34886,8,5,1,1,3,TRUE,FALSE,TRUE
-1,FALSE,FALSE,Ketel Marte,32512,8,5,1,1,2,TRUE,FALSE,TRUE
-2,FALSE,FALSE,Anthony Rendon,32098,8,5,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Liam Hendriks,31755,8,5,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Emmanuel Clase,41743,8,5,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Raisel Iglesias,33618,8,5,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,German Marquez,34874,8,5,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Zac Gallen,39910,8,5,1,1,14,TRUE,TRUE,FALSE
3.5,FALSE,FALSE,Edwin Diaz,35394,8,5,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Chris Sale,30948,8,5,1,1,17,FALSE,FALSE,FALSE
0,FALSE,FALSE,Shane Baz,39639,8,5,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Michael Conforto,33711,8,5,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Logan Gilbert,41221,8,5,1,1,14,TRUE,TRUE,FALSE
3,FALSE,FALSE,Keibert Ruiz,38827,8,5,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Bailey Ober,3107919,8,5,1,1,14,TRUE,TRUE,FALSE
4,FALSE,FALSE,David Fletcher,35156,8,5,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Anthony Santander,36084,8,5,1,1,5,TRUE,FALSE,TRUE
-1,FALSE,FALSE,Amed Rosario,33215,8,5,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Brandon Belt,30901,8,5,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Christian Vazquez,31389,8,5,1,1,12,TRUE,FALSE,TRUE
1.5,FALSE,FALSE,David Peralta,33384,8,5,1,1,5,TRUE,FALSE,TRUE
3,FALSE,FALSE,Pavin Smith,40767,8,5,1,1,5,TRUE,FALSE,TRUE
4.5,FALSE,FALSE,Myles Straw,39105,8,5,1,1,5,TRUE,FALSE,TRUE
6.5,FALSE,FALSE,Juan Soto,36969,1,6,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Freddy Peralta,39825,1,6,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Bo Bichette,38904,1,6,1,1,4,TRUE,FALSE,TRUE
7.5,FALSE,FALSE,Nolan Arenado,31261,1,6,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Nick Castellanos,31187,1,6,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Trevor Story,32150,1,6,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Whit Merrifield,32422,1,6,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jesse Winker,32833,1,6,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Giancarlo Stanton,30583,1,6,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Matt Chapman,33857,1,6,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Hyun Jin Ryu,32582,1,6,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Luis Severino,33263,1,6,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Mike Clevinger,32769,1,6,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Jon Gray,33203,1,6,1,1,14,TRUE,TRUE,FALSE
2,FALSE,FALSE,Luke Voit,35201,1,6,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Eugenio Suarez,32367,1,6,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Zach Plesac,42169,1,6,1,1,14,TRUE,TRUE,FALSE
-0.5,FALSE,FALSE,Adam Duvall,32664,1,6,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Trevor Bauer,32014,1,6,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Devin Williams,33224,1,6,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Gregory Soto,39804,1,6,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Jake McGee,28959,1,6,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Adley Rutschman,42178,1,6,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Tyler Glasnow,33190,1,6,1,1,17,FALSE,FALSE,FALSE
0,FALSE,FALSE,Dinelson Lamet,36157,1,6,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Julio Rodriguez,41044,1,6,1,1,16,FALSE,FALSE,FALSE
2.5,FALSE,FALSE,Jose Ramirez,32801,7,1,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Robbie Ray,32175,7,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Marcus Semien,32146,7,1,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Joe Musgrove,34848,7,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Jose Abreu,33095,7,1,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Cedric Mullins,35578,7,1,1,1,5,TRUE,FALSE,TRUE
18,TRUE,FALSE,Tyler Mahle,34973,7,1,1,1,14,TRUE,TRUE,FALSE
-2,FALSE,FALSE,Dansby Swanson,34895,7,1,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Teoscar Hernandez,33377,7,1,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Mitch Haniger,32771,7,1,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Anthony DeSclafani,33180,7,1,1,1,14,TRUE,TRUE,FALSE
-0.5,FALSE,FALSE,Jared Walsh,35673,7,1,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jean Segura,31037,7,1,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Ryan Mountcastle,34940,7,1,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Ranger Suarez,39817,7,1,1,1,14,TRUE,TRUE,FALSE
2,FALSE,FALSE,Andrew Benintendi,34986,7,1,1,1,5,TRUE,FALSE,TRUE
2,FALSE,FALSE,Tyler Stephenson,34975,7,1,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Matt Barnes,32147,7,1,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Kyle Gibson,31053,7,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Adolis Garcia,35537,7,1,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Paul Sewald,35009,7,1,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Lou Trivino,35844,7,1,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Brandon Crawford,30469,7,1,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Joe Ryan,42450,7,1,1,1,16,FALSE,FALSE,FALSE
0.5,FALSE,FALSE,Cesar Hernandez,31130,7,1,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Walker Buehler,39251,12,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Freddie Freeman,30193,12,2,1,1,1,TRUE,FALSE,TRUE
7,FALSE,FALSE,Yordan Alvarez,36018,12,2,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Kevin Gausman,32667,12,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Carlos Correa,32653,12,2,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Nathan Eovaldi,31174,12,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Yasmani Grandal,30950,12,2,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Eloy Jimenez,33867,12,2,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Luis Garcia,4684365,12,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Trevor Rogers,39640,12,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Justin Turner,29607,12,2,1,1,3,TRUE,FALSE,TRUE
3.5,FALSE,FALSE,Michael Brantley,30043,12,2,1,1,5,TRUE,FALSE,TRUE
4,FALSE,FALSE,Bobby Witt Jr.,42403,12,2,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jack Flaherty,33837,12,2,1,1,17,FALSE,FALSE,FALSE
7,FALSE,FALSE,Scott Barlow,32156,12,2,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Mike Yastrzemski,33341,12,2,1,1,5,TRUE,FALSE,TRUE
1.5,FALSE,FALSE,Kolten Wong,32061,12,2,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Corey Knebel,33206,12,2,1,1,15,TRUE,TRUE,FALSE
5.5,TRUE,FALSE,Patrick Corbin,31313,12,2,1,1,14,TRUE,TRUE,FALSE
4,FALSE,FALSE,Andrew McCutchen,28701,12,2,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jesus Aguilar,32132,12,2,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Casey Mize,41167,12,2,1,1,16,FALSE,FALSE,FALSE
-8,FALSE,FALSE,Robert Suarez,4148749,12,2,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Stephen Strasburg,30373,12,2,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Bobby Dalbec,39382,12,2,1,1,12,TRUE,FALSE,TRUE
-1,FALSE,FALSE,Adalberto Mondesi,32821,12,2,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Vladimir Guerrero Jr.,35002,4,3,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Sandy Alcantara,35241,4,3,1,1,14,TRUE,TRUE,FALSE
0.5,FALSE,FALSE,Ozzie Albies,33783,4,3,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Xander Bogaerts,31606,4,3,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Lance Lynn,30820,4,3,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Luis Castillo,35124,4,3,1,1,17,FALSE,FALSE,FALSE
0,FALSE,FALSE,Will Smith,38309,4,3,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Alek Manoah,42436,4,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Anthony Rizzo,30782,4,3,1,1,7,TRUE,FALSE,TRUE
2,FALSE,FALSE,Starling Marte,30830,4,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Craig Kimbrel,30653,4,3,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Enrique Hernandez,31358,4,3,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Michael Kopech,33763,4,3,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Lourdes Gurriel Jr.,36040,4,3,1,1,5,TRUE,FALSE,TRUE
4.5,FALSE,FALSE,Dylan Carlson,39226,4,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jordan Montgomery,38173,4,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Max Kepler,31870,4,3,1,1,16,FALSE,FALSE,FALSE
-0.5,FALSE,FALSE,Ke'Bryan Hayes,35020,4,3,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Austin Hays,36928,4,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Spencer Torkelson,4424286,4,3,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Cal Quantrill,39875,4,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Akil Baddoo,40634,4,3,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Joe Barlow,41741,4,3,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Matt Brash,4894467,4,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Tyler Rogers,34026,4,3,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Alex Cobb,31086,4,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Max Scherzer,28976,13,4,1,1,14,TRUE,TRUE,FALSE
1.5,FALSE,FALSE,Mike Trout,30836,13,4,1,1,5,TRUE,FALSE,TRUE
2.5,FALSE,FALSE,Pete Alonso,37498,13,4,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Justin Verlander,6341,13,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,George Springer,32078,13,4,1,1,5,TRUE,FALSE,TRUE
0.5,FALSE,FALSE,Josh Bell,32517,13,4,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Luis Robert,39631,13,4,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Kyle Schwarber,33712,13,4,1,1,16,FALSE,FALSE,FALSE
1.5,FALSE,FALSE,Joey Votto,28670,13,4,1,1,12,TRUE,FALSE,TRUE
2.5,FALSE,FALSE,Jonathan India,41171,13,4,1,1,2,TRUE,FALSE,TRUE
0.5,FALSE,FALSE,Franmil Reyes,33339,13,4,1,1,16,FALSE,FALSE,FALSE
11.5,FALSE,FALSE,Tyler O'Neill,34168,13,4,1,1,5,TRUE,FALSE,TRUE
1,FALSE,FALSE,Willson Contreras,32532,13,4,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Pablo Lopez,39671,13,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Yoan Moncada,33984,13,4,1,1,3,TRUE,FALSE,TRUE
0.5,FALSE,FALSE,Trent Grisham,34995,13,4,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Ryan McMahon,33247,13,4,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,J.P. Crawford,33210,13,4,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Andrew Kittredge,35872,13,4,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Garrett Whitlock,39674,13,4,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Nick Pivetta,36071,13,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Steven Matz,33106,13,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Tanner Houck,41009,13,4,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,David Bednar,38303,13,4,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Kyle Finnegan,36543,13,4,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Bryce Harper,30951,9,5,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Ronald Acuna Jr.,36185,9,5,1,1,17,FALSE,FALSE,FALSE
0,FALSE,FALSE,Logan Webb,41216,9,5,1,1,14,TRUE,TRUE,FALSE
3,TRUE,FALSE,Max Fried,32685,9,5,1,1,14,TRUE,TRUE,FALSE
-0.5,FALSE,FALSE,Francisco Lindor,32129,9,5,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,J.T. Realmuto,32177,9,5,1,1,0,TRUE,FALSE,TRUE
9,FALSE,FALSE,Austin Riley,34982,9,5,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Aroldis Chapman,30442,9,5,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Clayton Kershaw,28963,9,5,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Marcus Stroman,32815,9,5,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Byron Buxton,32655,9,5,1,1,5,TRUE,FALSE,TRUE
-0.5,FALSE,FALSE,Nelson Cruz,6242,9,5,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Tarik Skubal,42409,9,5,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Charlie Blackmon,31084,9,5,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,John Means,39948,9,5,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Trey Mancini,33351,9,5,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jazz Chisholm Jr.,41433,9,5,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Adam Frazier,33546,9,5,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,AJ Pollock,30699,9,5,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Miguel Sano,31260,9,5,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Chad Green,33325,9,5,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Will Smith,31549,9,5,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Joc Pederson,31392,9,5,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Huascar Ynoa,39679,9,5,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Jesus Luzardo,39667,9,5,1,1,16,FALSE,FALSE,FALSE
-2,FALSE,FALSE,Wil Myers,31265,9,5,1,1,5,TRUE,FALSE,TRUE
16.5,TRUE,FALSE,Shohei Ohtani,39832,14,6,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Rafael Devers,33859,14,6,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Lucas Giolito,32697,14,6,1,1,14,TRUE,TRUE,FALSE
