player,player_id,team_id,stint,start,end,rp_eligible,round_id,pick_id,team_from,teams_involved,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Brendan Donovan,41773,7,0,1,125,FALSE,7,76,NA,NA,NA,Draft,247,91,1,0,0,2.7142857142857144
Brent Rooker,40926,2,0,1,125,FALSE,6,70,NA,NA,NA,Draft,312,100,1,0,0,3.12
Brenton Doyle,42462,1,0,1,48,FALSE,12,137,NA,NA,NA,Draft,48,14,1,0,0,3.4285714285714284
Brice Turang,41179,14,0,1,125,FALSE,20,240,NA,NA,NA,Draft,196.5,88,1,0,0,2.2329545454545454
Bryan Abreu,41208,7,0,1,25,TRUE,22,261,NA,NA,NA,Draft,9.5,6,0,0,1,1.5833333333333333
Bryan Reynolds,38980,12,0,1,114,FALSE,8,95,NA,NA,NA,Draft,161.5,80,1,0,0,2.01875
Bryan Woo,4629089,8,0,1,125,FALSE,11,130,NA,NA,NA,Draft,354,18,0,1,0,19.666666666666668
Bryce Harper,30951,9,0,1,125,FALSE,3,30,NA,NA,NA,Draft,233,70,1,0,0,3.3285714285714287
Bryce Miller,4654313,7,0,1,125,FALSE,6,69,NA,NA,NA,Draft,63,9,0,1,0,7
Bryson Stott,42417,6,0,1,114,FALSE,15,175,NA,NA,NA,Draft,173.5,70,1,0,0,2.4785714285714286
Bubba Chandler,4683325,7,0,1,103,FALSE,24,285,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Byron Buxton,32655,1,0,1,125,FALSE,17,200,NA,NA,NA,Draft,296,78,1,0,0,3.7948717948717947
CJ Abrams,42402,14,0,1,125,FALSE,8,96,NA,NA,NA,Draft,258,82,1,0,0,3.1463414634146343
Cade Smith,4987924,12,0,1,16,TRUE,23,266,NA,NA,NA,Draft,13,3,0,0,1,4.333333333333333
Cal Raleigh,41292,11,0,1,125,FALSE,9,105,NA,NA,NA,Draft,387,95,1,0,0,4.073684210526316
Cam Smith,5080766,4,0,1,19,FALSE,25,299,NA,NA,NA,Draft,1.5,4,1,0,0,0.375
Carlos Correa,32653,2,0,1,115,FALSE,11,123,NA,NA,NA,Draft,98.5,57,1,0,0,1.7280701754385965
Carlos Rodon,33696,14,0,1,125,FALSE,9,97,NA,NA,NA,Draft,347,19,0,1,0,18.263157894736842
Carlos Santana,30280,7,0,1,42,FALSE,20,237,NA,NA,NA,Draft,49,27,1,0,0,1.8148148148148149
Ceddanne Rafaela,4987382,8,0,1,125,FALSE,NA,NA,NA,NA,NA,Free Agent,254,91,1,0,0,2.791208791208791
Cedric Mullins,35578,13,0,1,125,FALSE,20,229,NA,NA,NA,Draft,195.5,78,1,0,0,2.5064102564102564
Chris Bassitt,33148,12,0,1,74,FALSE,16,191,NA,NA,NA,Draft,115,10,0,1,0,11.5
Chris Sale,30948,13,0,1,125,FALSE,2,13,NA,NA,NA,Draft,277.5,15,0,1,0,18.5
Christian Encarnacion-Strand,5012106,14,0,1,18,FALSE,23,265,NA,NA,NA,Draft,9,7,1,0,0,1.2857142857142858
Christian Walker,32758,5,0,1,76,FALSE,9,101,NA,NA,NA,Draft,84,48,1,0,0,1.75
Christian Yelich,31283,4,0,1,116,FALSE,7,83,NA,NA,NA,Draft,261,88,1,0,0,2.965909090909091
Christopher Morel,42927,11,0,1,21,FALSE,15,177,NA,NA,NA,Draft,5,5,1,0,0,1
Clarke Schmidt,41085,5,0,1,13,FALSE,19,221,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Clay Holmes,32827,4,0,1,116,TRUE,15,179,NA,NA,NA,Draft,158,14,0,1,0,11.285714285714286
Cody Bellinger,33912,9,0,1,47,FALSE,6,67,NA,NA,NA,Draft,57.5,28,1,0,0,2.0535714285714284
Cole Ragans,41054,9,0,1,125,FALSE,2,19,NA,NA,NA,Draft,118.5,10,0,1,0,11.85
Colt Keith,4683384,8,0,1,40,FALSE,25,298,NA,NA,NA,Draft,27,25,1,0,0,1.08
Colton Cowser,4416990,9,0,1,20,FALSE,15,174,NA,NA,NA,Draft,6.5,4,1,0,0,1.625
Connor Norby,4417606,5,0,1,8,FALSE,23,269,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Corbin Burnes,39878,14,0,1,81,FALSE,3,25,NA,NA,NA,Draft,187,11,0,1,0,17
Corbin Carroll,42404,8,0,1,125,FALSE,2,15,NA,NA,NA,Draft,294,80,1,0,0,3.675
Corey Seager,32691,2,0,1,125,FALSE,2,22,NA,NA,NA,Draft,188.5,66,1,0,0,2.856060606060606
Cristopher Sanchez,42359,7,0,1,125,FALSE,11,124,NA,NA,NA,Draft,347.5,19,0,1,0,18.289473684210527
Dansby Swanson,34895,6,0,1,125,FALSE,14,162,NA,NA,NA,Draft,232.5,97,1,0,0,2.3969072164948453
Devin Williams,33224,9,0,1,39,TRUE,11,126,NA,NA,NA,Draft,5.5,10,0,0,1,0.55
Drew Rasmussen,42584,1,0,1,51,TRUE,23,272,NA,NA,NA,Draft,77,6,0,1,0,12.833333333333334
Dustin May,40937,2,0,1,125,FALSE,24,286,NA,NA,NA,Draft,196,17,0,1,0,11.529411764705882
Dylan Cease,34943,7,0,1,125,FALSE,2,21,NA,NA,NA,Draft,237,19,0,1,0,12.473684210526315
Dylan Crews,4719511,8,0,1,125,FALSE,14,159,NA,NA,NA,Draft,92,45,1,0,0,2.0444444444444443
Dylan Moore,40593,11,0,1,45,FALSE,12,136,NA,NA,NA,Draft,60.5,23,1,0,0,2.630434782608696
Edwin Diaz,35394,8,0,1,125,TRUE,15,178,NA,NA,NA,Draft,179.5,37,0,0,1,4.851351351351352
Edwin Uceta,41308,13,0,1,16,TRUE,24,277,NA,NA,NA,Draft,5.5,2,0,0,1,2.75
Elly De La Cruz,4917694,8,0,1,125,FALSE,1,10,NA,NA,NA,Draft,316,99,1,0,0,3.191919191919192
Emmanuel Clase,41743,2,0,1,125,TRUE,13,147,NA,NA,NA,Draft,152,44,0,0,1,3.4545454545454546
Eugenio Suarez,32367,7,0,1,125,FALSE,14,165,NA,NA,NA,Draft,313.5,96,1,0,0,3.265625
Evan Carter,4917921,4,0,1,4,FALSE,23,275,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Ezequiel Tovar,4905919,7,0,1,30,FALSE,16,189,NA,NA,NA,Draft,23,15,1,0,0,1.5333333333333334
Felix Bautista,4905859,5,0,1,125,TRUE,18,212,NA,NA,NA,Draft,146.5,32,0,0,1,4.578125
Fernando Tatis Jr.,35983,12,0,1,125,FALSE,2,23,NA,NA,NA,Draft,307.5,96,1,0,0,3.203125
Framber Valdez,36581,7,0,1,125,FALSE,3,28,NA,NA,NA,Draft,360.5,18,0,1,0,20.02777777777778
Francisco Lindor,32129,5,0,1,125,FALSE,2,20,NA,NA,NA,Draft,287.5,96,1,0,0,2.9947916666666665
Freddie Freeman,30193,14,0,1,125,FALSE,2,24,NA,NA,NA,Draft,236.5,85,1,0,0,2.7823529411764705
Freddy Peralta,39825,1,0,1,125,FALSE,6,65,NA,NA,NA,Draft,307.5,20,0,1,0,15.375
Garrett Crochet,4297835,6,0,1,125,FALSE,2,18,NA,NA,NA,Draft,432,20,0,1,0,21.6
Garrett Mitchell,4313442,6,0,1,14,FALSE,25,295,NA,NA,NA,Draft,-0.5,2,1,0,0,-0.25
Gavin Williams,4345076,6,0,1,125,FALSE,16,186,NA,NA,NA,Draft,175.5,16,0,1,0,10.96875
George Kirby,42406,11,0,1,125,FALSE,6,64,NA,NA,NA,Draft,92,9,0,1,0,10.222222222222221
George Springer,32078,14,0,1,125,FALSE,16,192,NA,NA,NA,Draft,270,89,1,0,0,3.033707865168539
Gleyber Torres,33804,2,0,1,125,FALSE,14,166,NA,NA,NA,Draft,245,85,1,0,0,2.8823529411764706
Grant Holmes,33840,8,0,1,16,TRUE,23,274,NA,NA,NA,Draft,1,1,0,0.5,0.5,1
Grayson Rodriguez,41196,6,0,1,48,FALSE,17,199,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Griffin Jax,42604,9,0,1,13,TRUE,23,270,NA,NA,NA,Draft,-0.5,1,0,0,1,-0.5
Gunnar Henderson,42507,11,0,1,125,FALSE,2,16,NA,NA,NA,Draft,223,88,1,0,0,2.534090909090909
Heliot Ramos,39642,4,0,1,125,FALSE,18,206,NA,NA,NA,Draft,237,97,1,0,0,2.443298969072165
Hunter Brown,4717803,7,0,1,125,FALSE,9,100,NA,NA,NA,Draft,396.5,19,0,1,0,20.86842105263158
Hunter Greene,39635,4,0,1,125,FALSE,6,62,NA,NA,NA,Draft,183,10,0,1,0,18.3
Ian Happ,34945,5,0,1,125,FALSE,8,92,NA,NA,NA,Draft,241,86,1,0,0,2.802325581395349
Isaac Paredes,39706,6,0,1,25,FALSE,6,66,NA,NA,NA,Draft,30.5,13,1,0,0,2.3461538461538463
J.T. Realmuto,32177,14,0,1,58,FALSE,18,216,NA,NA,NA,Draft,66.5,34,1,0,0,1.9558823529411764
JJ Bleday,42410,5,0,1,66,FALSE,13,149,NA,NA,NA,Draft,73,40,1,0,0,1.825
Jack Flaherty,33837,5,0,1,125,FALSE,12,140,NA,NA,NA,Draft,229.5,18,0,1,0,12.75
Jackson Chourio,4917869,1,0,1,125,FALSE,4,41,NA,NA,NA,Draft,288.5,97,1,0,0,2.9742268041237114
Jackson Holliday,5080633,9,0,1,22,FALSE,16,187,NA,NA,NA,Draft,19,10,1,0,0,1.9
Jackson Jobe,4872647,8,0,1,76,FALSE,21,250,NA,NA,NA,Draft,68.5,8,0,1,0,8.5625
Jackson Merrill,4872691,7,0,1,125,FALSE,5,52,NA,NA,NA,Draft,164,66,1,0,0,2.484848484848485
Jacob deGrom,32796,13,0,1,125,FALSE,3,36,NA,NA,NA,Draft,355.5,19,0,1,0,18.710526315789473
Jake Burger,39882,6,0,1,45,FALSE,13,151,NA,NA,NA,Draft,42.5,30,1,0,0,1.4166666666666667
Jake Cronenworth,36364,7,0,1,125,FALSE,13,148,NA,NA,NA,Draft,158,73,1,0,0,2.164383561643836
Jake McCarthy,41197,7,0,1,27,FALSE,19,220,NA,NA,NA,Draft,10,12,1,0,0,0.8333333333333334
James Wood,4918256,11,0,1,125,FALSE,10,112,NA,NA,NA,Draft,318.5,94,1,0,0,3.3882978723404253
Jared Jones,4918156,8,0,1,56,FALSE,10,111,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Jarren Duran,41610,6,0,1,125,FALSE,4,42,NA,NA,NA,Draft,266,98,1,0,0,2.7142857142857144
Jason Adam,32145,11,0,1,125,TRUE,21,249,NA,NA,NA,Draft,163.5,48,0,0,1,3.40625
Jasson Dominguez,42401,14,0,1,48,FALSE,14,168,NA,NA,NA,Draft,53,27,1,0,0,1.962962962962963
Jazz Chisholm Jr.,41433,14,0,1,125,FALSE,7,73,NA,NA,NA,Draft,194,67,1,0,0,2.8955223880597014
Jeff Hoffman,33841,4,0,1,125,TRUE,20,230,NA,NA,NA,Draft,156,42,0,0,1,3.7142857142857144
Jeimer Candelario,32531,11,0,1,21,FALSE,24,280,NA,NA,NA,Draft,7.5,11,1,0,0,0.6818181818181818
Jeremiah Estrada,41014,13,0,1,16,TRUE,23,276,NA,NA,NA,Draft,18,4,0,0,1,4.5
Jeremy Pena,41273,1,0,1,125,FALSE,18,209,NA,NA,NA,Draft,242.5,81,1,0,0,2.993827160493827
Jesus Luzardo,39667,12,0,1,125,FALSE,17,194,NA,NA,NA,Draft,234.5,19,0,1,0,12.342105263157896
Jhoan Duran,41109,9,0,1,125,TRUE,19,222,NA,NA,NA,Draft,162.5,44,0,0,1,3.6931818181818183
Jhonkensy Noel,42548,11,0,1,19,FALSE,NA,NA,NA,NA,NA,Free Agent,3,5,1,0,0,0.6
Joc Pederson,31392,13,0,1,12,FALSE,19,228,NA,NA,NA,Draft,2,1,1,0,0,2
Joe Ryan,42450,8,0,1,125,FALSE,7,82,NA,NA,NA,Draft,338.5,19,0,1,0,17.81578947368421
Jonathan India,41171,5,0,1,55,FALSE,15,173,NA,NA,NA,Draft,67.5,37,1,0,0,1.8243243243243243
Jordan Romano,36380,1,0,1,12,TRUE,22,257,NA,NA,NA,Draft,-4,1,0,0,1,-4
Jordan Walker,4684778,8,0,1,106,FALSE,18,207,NA,NA,NA,Draft,74.5,46,1,0,0,1.6195652173913044
Jordan Westburg,4298641,8,0,1,125,FALSE,8,87,NA,NA,NA,Draft,113.5,44,1,0,0,2.5795454545454546
Jorge Soler,32558,13,0,1,64,FALSE,15,180,NA,NA,NA,Draft,72.5,37,1,0,0,1.9594594594594594
Jose Altuve,31662,1,0,1,125,FALSE,5,56,NA,NA,NA,Draft,268.5,95,1,0,0,2.8263157894736843
Jose Berrios,32811,7,0,1,125,FALSE,12,141,NA,NA,NA,Draft,216.5,16,0,1,0,13.53125
Jose Ramirez,32801,9,0,1,125,FALSE,1,6,NA,NA,NA,Draft,326.5,94,1,0,0,3.473404255319149
Josh Hader,32760,14,0,1,125,TRUE,15,169,NA,NA,NA,Draft,201,39,0,0,1,5.153846153846154
Josh Jung,42437,14,0,1,11,FALSE,25,289,NA,NA,NA,Draft,2,1,1,0,0,2
Josh Lowe,40557,7,0,1,12,FALSE,18,213,NA,NA,NA,Draft,1,1,1,0,0,1
Josh Naylor,35066,4,0,1,48,FALSE,5,59,NA,NA,NA,Draft,100,33,1,0,0,3.0303030303030303
Juan Soto,36969,12,0,1,125,FALSE,1,2,NA,NA,NA,Draft,348,98,1,0,0,3.5510204081632653
Julio Rodriguez,41044,14,0,1,125,FALSE,5,49,NA,NA,NA,Draft,270.5,97,1,0,0,2.788659793814433
Jung Hoo Lee,5134621,13,0,1,125,FALSE,9,108,NA,NA,NA,Draft,247,93,1,0,0,2.6559139784946235
Junior Caminero,4905921,11,0,1,125,FALSE,8,88,NA,NA,NA,Draft,191,72,1,0,0,2.6527777777777777
Jurickson Profar,31117,5,0,1,14,FALSE,11,125,NA,NA,NA,Draft,4.5,4,1,0,0,1.125
Justin Martinez,5116851,14,0,1,46,TRUE,22,264,NA,NA,NA,Draft,40.5,12,0,0,1,3.375
Justin Steele,41022,2,0,1,27,FALSE,9,99,NA,NA,NA,Draft,46,4,0,1,0,11.5
Ke'Bryan Hayes,35020,2,0,1,12,FALSE,NA,NA,NA,NA,NA,Free Agent,5.5,3,1,0,0,1.8333333333333333
Keibert Ruiz,38827,12,0,1,44,FALSE,22,263,NA,NA,NA,Draft,60.5,26,1,0,0,2.326923076923077
Kerry Carpenter,42714,9,0,1,98,FALSE,14,163,NA,NA,NA,Draft,152.5,68,1,0,0,2.2426470588235294
Ketel Marte,32512,12,0,1,125,FALSE,3,26,NA,NA,NA,Draft,247.5,67,1,0,0,3.6940298507462686
Kevin Gausman,32667,12,0,1,63,FALSE,7,74,NA,NA,NA,Draft,119,9,0,1,0,13.222222222222221
Kirby Yates,32623,6,0,1,2,TRUE,NA,NA,NA,NA,NA,Free Agent,6,1,0,0,1,6
Kodai Senga,4142421,12,0,1,125,FALSE,11,122,NA,NA,NA,Draft,239,14,0,1,0,17.071428571428573
Kristian Campbell,5201569,12,0,1,72,FALSE,NA,NA,NA,NA,NA,Free Agent,82,40,1,0,0,2.05
Kyle Finnegan,36543,7,0,1,125,TRUE,25,292,NA,NA,NA,Draft,106,37,0,0,1,2.864864864864865
Kyle Manzardo,4917927,13,0,1,69,FALSE,22,253,NA,NA,NA,Draft,102.5,37,1,0,0,2.77027027027027
Kyle Schwarber,33712,4,0,1,125,FALSE,3,35,NA,NA,NA,Draft,367.5,98,1,0,0,3.75
Kyle Tucker,34967,1,0,1,125,FALSE,1,8,NA,NA,NA,Draft,357.5,95,1,0,0,3.763157894736842
Lane Thomas,36409,6,0,1,28,FALSE,18,210,NA,NA,NA,Draft,6.5,8,1,0,0,0.8125
Lars Nootbaar,4448736,13,0,1,125,FALSE,11,132,NA,NA,NA,Draft,210.5,84,1,0,0,2.505952380952381
Lawrence Butler,4917919,12,0,1,125,FALSE,9,98,NA,NA,NA,Draft,246.5,91,1,0,0,2.708791208791209
Logan Gilbert,41221,4,0,1,125,FALSE,2,14,NA,NA,NA,Draft,171,12,0,1,0,14.25
Logan Webb,41216,12,0,1,125,FALSE,5,50,NA,NA,NA,Draft,374,21,0,1,0,17.80952380952381
Lourdes Gurriel Jr.,36040,14,0,1,27,FALSE,17,193,NA,NA,NA,Draft,27.5,15,1,0,0,1.8333333333333333
Lucas Erceg,36618,6,0,1,14,TRUE,24,282,NA,NA,NA,Draft,6,2,0,0,1,3
Luis Arraez,39572,5,0,1,125,FALSE,7,77,NA,NA,NA,Draft,229.5,91,1,0,0,2.521978021978022
Luis Castillo,35124,11,0,1,125,FALSE,5,57,NA,NA,NA,Draft,283,19,0,1,0,14.894736842105264
Luis Garcia Jr.,40459,4,0,1,17,FALSE,13,155,NA,NA,NA,Draft,3,5,1,0,0,0.6
Luis Gil,40626,9,0,1,125,FALSE,24,283,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Luis Rengifo,37237,13,0,1,59,FALSE,18,205,NA,NA,NA,Draft,28.5,30,1,0,0,0.95
Luis Robert Jr.,39631,1,0,1,73,FALSE,11,128,NA,NA,NA,Draft,104.5,50,1,0,0,2.09
Luis Severino,33263,14,0,1,28,FALSE,12,144,NA,NA,NA,Draft,36,3,0,1,0,12
Luke Raley,40422,11,0,1,2,FALSE,19,225,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Luke Weaver,33770,6,0,1,47,TRUE,21,247,NA,NA,NA,Draft,76.5,13,0,0,1,5.884615384615385
MacKenzie Gore,39636,13,0,1,125,FALSE,13,156,NA,NA,NA,Draft,280.5,17,0,1,0,16.5
Maikel Garcia,4905884,11,0,1,125,FALSE,23,273,NA,NA,NA,Draft,214,91,1,0,0,2.3516483516483517
Manny Machado,31097,5,0,1,125,FALSE,4,44,NA,NA,NA,Draft,286.5,98,1,0,0,2.923469387755102
Marcell Ozuna,31668,1,0,1,125,FALSE,9,104,NA,NA,NA,Draft,193.5,83,1,0,0,2.3313253012048194
Marcus Semien,32146,11,0,1,125,FALSE,3,33,NA,NA,NA,Draft,230,96,1,0,0,2.3958333333333335
Mark Vientos,41034,8,0,1,78,FALSE,12,135,NA,NA,NA,Draft,95.5,53,1,0,0,1.8018867924528301
Masataka Yoshida,4872598,12,0,1,18,FALSE,24,287,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Mason Miller,4730225,1,0,1,125,TRUE,15,176,NA,NA,NA,Draft,150.5,35,0,0,1,4.3
Masyn Winn,4683365,13,0,1,125,FALSE,14,157,NA,NA,NA,Draft,184.5,82,1,0,0,2.25
Matt Chapman,33857,1,0,1,125,FALSE,10,113,NA,NA,NA,Draft,177,74,1,0,0,2.391891891891892
Matt McLain,4422899,13,0,1,72,FALSE,10,109,NA,NA,NA,Draft,93,48,1,0,0,1.9375
Matt Olson,32767,8,0,1,125,FALSE,3,34,NA,NA,NA,Draft,283,97,1,0,0,2.917525773195876
Matt Shaw,4867667,4,0,1,29,FALSE,17,203,NA,NA,NA,Draft,26,18,1,0,0,1.4444444444444444
Matt Vierling,41636,11,0,1,9,FALSE,18,208,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Matt Wallner,42427,9,0,1,25,FALSE,21,246,NA,NA,NA,Draft,30,14,1,0,0,2.142857142857143
Max Fried,32685,9,0,1,125,FALSE,4,43,NA,NA,NA,Draft,367.5,20,0,1,0,18.375
Max Meyer,4345164,2,0,1,78,FALSE,23,267,NA,NA,NA,Draft,118.5,11,0,1,0,10.772727272727273
Max Muncy,33303,12,0,1,28,FALSE,15,170,NA,NA,NA,Draft,8,15,1,0,0,0.5333333333333333
Max Scherzer,28976,1,0,1,12,FALSE,16,185,NA,NA,NA,Draft,3,1,0,1,0,3
Merrill Kelly,32968,12,0,1,125,FALSE,18,215,NA,NA,NA,Draft,308.5,19,0,1,0,16.236842105263158
Michael Busch,42415,9,0,1,13,FALSE,17,198,NA,NA,NA,Draft,6,6,1,0,0,1
Michael Conforto,33711,4,0,1,44,FALSE,16,182,NA,NA,NA,Draft,45.5,25,1,0,0,1.82
Michael Harris II,42470,12,0,1,25,FALSE,6,71,NA,NA,NA,Draft,12,11,1,0,0,1.0909090909090908
Michael King,40429,14,0,1,125,FALSE,6,72,NA,NA,NA,Draft,169.5,10,0,1,0,16.95
Michael Kopech,33763,11,0,1,10,TRUE,25,297,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Michael Toglia,42412,9,0,1,21,FALSE,20,235,NA,NA,NA,Draft,5,8,1,0,0,0.625
Michael Wacha,32640,11,0,1,21,FALSE,20,232,NA,NA,NA,Draft,13.5,2,0,1,0,6.75
Miguel Amaya,38905,2,0,1,7,FALSE,NA,NA,NA,NA,NA,Free Agent,2.5,1,1,0,0,2.5
Mike Trout,30836,6,0,1,63,FALSE,5,55,NA,NA,NA,Draft,79.5,29,1,0,0,2.7413793103448274
Mitch Keller,33722,9,0,1,30,FALSE,18,211,NA,NA,NA,Draft,48,2,0,1,0,24
Mookie Betts,33039,11,0,1,125,FALSE,1,9,NA,NA,NA,Draft,245,90,1,0,0,2.7222222222222223
Nathan Eovaldi,31174,13,0,1,125,FALSE,16,181,NA,NA,NA,Draft,297,15,0,1,0,19.8
Nathaniel Lowe,40538,11,0,1,90,FALSE,16,184,NA,NA,NA,Draft,117,56,1,0,0,2.0892857142857144
Nestor Cortes,36480,14,0,1,35,FALSE,24,288,NA,NA,NA,Draft,-16.5,1,0,1,0,-16.5
Nick Castellanos,31187,14,0,1,125,FALSE,13,145,NA,NA,NA,Draft,237,97,1,0,0,2.443298969072165
Nick Lodolo,42433,6,0,1,125,FALSE,19,223,NA,NA,NA,Draft,279,18,0,1,0,15.5
Nick Pivetta,36071,4,0,1,125,FALSE,11,131,NA,NA,NA,Draft,340,19,0,1,0,17.894736842105264
Nico Hoerner,41219,9,0,1,125,FALSE,12,139,NA,NA,NA,Draft,235,88,1,0,0,2.6704545454545454
Nolan Arenado,31261,12,0,1,125,FALSE,14,167,NA,NA,NA,Draft,203.5,81,1,0,0,2.5123456790123457
Nolan Gorman,41174,1,0,1,16,FALSE,25,296,NA,NA,NA,Draft,10,1,1,0,0,10
Nolan Jones,37340,2,0,1,12,FALSE,22,262,NA,NA,NA,Draft,2.5,1,1,0,0,2.5
Nolan Schanuel,4739755,1,0,1,10,FALSE,21,248,NA,NA,NA,Draft,1,1,1,0,0,1
Oneil Cruz,39712,1,0,1,125,FALSE,8,89,NA,NA,NA,Draft,228.5,87,1,0,0,2.6264367816091956
Orion Kerkering,4630789,6,0,1,20,TRUE,22,258,NA,NA,NA,Draft,11.5,4,0,0,1,2.875
Ozzie Albies,33783,8,0,1,125,FALSE,5,58,NA,NA,NA,Draft,207,97,1,0,0,2.134020618556701
Pablo Lopez,39671,12,0,1,87,FALSE,4,47,NA,NA,NA,Draft,159,11,0,1,0,14.454545454545455
Parker Meadows,41223,8,0,1,8,FALSE,20,231,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Paul Goldschmidt,31027,1,0,1,125,FALSE,14,161,NA,NA,NA,Draft,221,86,1,0,0,2.5697674418604652
Paul Skenes,4719507,13,0,1,125,FALSE,1,12,NA,NA,NA,Draft,405,20,0,1,0,20.25
Pete Alonso,37498,11,0,1,125,FALSE,4,40,NA,NA,NA,Draft,304.5,98,1,0,0,3.107142857142857
Pete Crow-Armstrong,4717833,4,0,1,125,FALSE,19,227,NA,NA,NA,Draft,347.5,96,1,0,0,3.6197916666666665
Porter Hodge,5185133,4,0,1,21,TRUE,NA,NA,NA,NA,NA,Free Agent,14.5,5,0,0,1,2.9
Rafael Devers,33859,2,0,1,125,FALSE,3,27,NA,NA,NA,Draft,306.5,100,1,0,0,3.065
Raisel Iglesias,33618,8,0,1,125,TRUE,17,202,NA,NA,NA,Draft,97,40,0,0,1,2.425
Randy Arozarena,36488,2,0,1,125,FALSE,15,171,NA,NA,NA,Draft,282,96,1,0,0,2.9375
Ranger Suarez,39817,11,0,1,125,FALSE,14,160,NA,NA,NA,Draft,267.5,13,0,1,0,20.576923076923077
Reese Olson,4734319,4,0,1,25,FALSE,22,254,NA,NA,NA,Draft,15.5,2,0,1,0,7.75
Reynaldo Lopez,33860,1,0,1,14,FALSE,13,152,NA,NA,NA,Draft,0,1,0,1,0,0
Rhys Hoskins,35291,5,0,1,20,FALSE,25,293,NA,NA,NA,Draft,7,7,1,0,0,1
